Road Id,max
0,35
1,35
2,35
3,35
4,35
5,35
6,35
7,35
8,35
9,35
10,35
11,35
12,35
13,35
15,35
16,35
17,35
18,35
20,35
21,35
23,35
25,35
29,35
30,35
31,35
32,35
34,35
35,35
37,35
38,35
40,35
41,35
42,35
43,35
45,35
46,35
51,35
52,35
53,35
55,35
57,35
59,35
62,35
63,35
64,35
65,35
67,35
68,35
71,35
72,35
73,35
74,35
75,35
76,35
79,35
80,35
81,35
82,35
83,35
84,35
88,35
89,35
90,35
91,35
92,35
94,35
