Road Id,Id,type,roadmark type,roadmark material,roadmark color,roadmark laneChange,max speed,speed unit,laneId,travelDir
67,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{6f08b0bd-41f8-4212-96e4-61e2b16ab704},undirected
67,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{0bee3b14-8b4c-4333-9fc9-9fb09cee7924},backward
71,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{23d5e77a-bd97-49ae-b899-d64837671871},undirected
71,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{84d5a9d4-daa8-410f-90d8-515b11bc0c30},backward
75,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{e8828422-d6b7-45be-ba9b-24e25bacfa8d},backward
79,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{07974fde-ab30-4131-8b16-2ca32040c9cd},undirected
79,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{133da29e-3bfe-4c37-bc34-6fb3a16c4ddb},backward
83,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{b969fac0-70e8-45b7-9843-69a71babe226},backward
88,2,shoulder,none,standard,white,none,3.5000000000000000e+1,mph,{2b74cec9-4be6-4ff1-abbf-fed422d342c9},undirected
88,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{59a5ecc7-39c1-412d-b3f2-e57296fdf3d6},backward
90,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{d8b339b3-7d2d-46d8-9bf6-faa4f0cf6a56},backward
92,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{e3cf31a2-308f-4fda-a96d-836af970c4f2},backward
94,1,driving,none,standard,white,none,3.5000000000000000e+1,mph,{4267642f-cb6e-4696-b622-88ecaccc9638},backward
